date,preclose,open,high,low,close,volume,amount,chg,chg.per
20090827,3595.115,3585.368,3662.473,3557.766,3629.513,6542605700,62666472301,34.398,0.9568
20090828,3629.513,3615.075,3627.366,3512.432,3531.41,4827620600,45945183890,-98.103,-2.7029
20090831,3531.41,3477.116,3477.116,3276.108,3277.997,4731422800,43255410397,-253.413,-7.176
20090901,3277.997,3242.929,3319.717,3207.268,3245.274,3739287600,33234621981,-32.723,-0.9983
20090902,3245.274,3229.021,3279.098,3195.852,3265.074,3105849800,26998810400,19.8,0.6101
20090903,3265.074,3266.18,3437.159,3262.967,3427.442,4794651300,43515606419,162.368,4.9729
20090904,3427.442,3422.954,3509.282,3408.083,3489.063,5383360500,50781322255,61.621,1.7979
20090907,3489.063,3503.003,3564.65,3487.493,3527.254,5832011700,56322210380,38.191,1.0946
20090908,3527.254,3505.443,3592.806,3473.181,3592.806,5578516600,55980453409,65.552,1.8584
20090909,3592.806,3598.014,3616.254,3556.314,3613.41,5587916100,56137109537,20.604,0.5735
20090910,3613.41,3598.266,3624.756,3558.616,3581.683,4919302300,48294075772,-31.727,-0.878
20090911,3581.683,3567.62,3659.439,3565.868,3641.816,5352228700,52031226521,60.133,1.6789
20090914,3641.816,3653.469,3744.834,3652.577,3736.576,6999641200,69266897945,94.76,2.602
20090915,3736.576,3742.445,3791.841,3718.881,3775.213,7136290900,70906100685,38.637,1.034
20090916,3775.213,3764.567,3808.895,3706.297,3781.064,7223743900,71506327436,5.851,0.155
20090917,3781.064,3785.245,3881.849,3785.245,3868.667,7766327500,76549294919,87.603,2.3169
20090918,3868.667,3879.099,3892.17,3707.022,3739.732,8051587800,79292552224,-128.935,-3.3328
20090921,3739.732,3704.171,3805.037,3637.501,3804.331,6109442000,61331331199,64.599,1.7274
20090922,3804.331,3793.79,3834.725,3708.199,3708.199,5719297700,59072443427,-96.132,-2.5269
20090923,3708.199,3693.032,3733.694,3572.628,3595.706,4993506900,49543781140,-112.493,-3.0336
20090924,3595.706,3572.481,3620.386,3477.406,3568.669,4411822400,42844101016,-27.037,-0.7519
20090925,3568.669,3555.468,3583.602,3516.359,3536.811,3315150200,32026962179,-31.858,-0.8927
20090928,3536.811,3546.341,3581.976,3418.456,3434.655,3228769200,30785905298,-102.156,-2.8884
20090929,3434.655,3430.289,3449.173,3306.384,3372.074,3263922600,29436875152,-62.581,-1.822
20090930,3372.074,3396.927,3444.768,3396.561,3400.623,2886389500,26692996825,28.549,0.8466
20091009,3400.623,3456.082,3576.636,3454.796,3576.444,3643693100,34965908475,175.821,5.1703
20091012,3576.444,3586.041,3629.578,3555.945,3597.863,3919970700,38786307553,21.419,0.5989
20091013,3597.863,3591.615,3659.081,3583.85,3659.081,3793228800,37251298683,61.218,1.7015
20091014,3659.081,3668.372,3729.942,3667.506,3692.648,5225603000,52651504840,33.567,0.9174
20091015,3692.648,3711.101,3733.276,3677.135,3704.404,4425295300,44230878359,11.756,0.3184
20091016,3704.404,3712.918,3725.321,3654.696,3716.897,4291635200,43612066520,12.493,0.3372
20091019,3716.897,3719.532,3808.181,3714.485,3808.181,5659440200,57865502154,91.284,2.4559
20091020,3808.181,3827.626,3865.832,3811.786,3865.832,6772508600,71454000459,57.651,1.5139
20091021,3865.832,3859.512,3887.889,3836.876,3839.947,6547195600,66974108089,-25.885,-0.6696
20091022,3839.947,3827.181,3880.294,3815.166,3855.768,5675228300,57097318192,15.821,0.412
20091023,3855.768,3858.449,3926.192,3858.449,3908.435,6944006800,69326922727,52.667,1.3659
20091026,3908.435,3914.608,3925.422,3869.149,3911.653,5806183500,59082514547,3.218,0.0823
20091027,3911.653,3884.564,3887.437,3807.976,3807.976,5762283900,59977841009,-103.677,-2.6505
20091028,3807.976,3794.993,3846.415,3763.173,3846.415,5000961600,52176565091,38.439,1.0094
20091029,3846.415,3786.725,3814.915,3761.785,3777.505,4790887100,51083859019,-68.91,-1.7915
20091030,3777.505,3823.8,3872.23,3799.662,3827.683,5174836800,55612624319,50.178,1.3283
